,BURNCLAS,Tm,P,tree_genus,ClusterID
736,4.0,13.4,30.0,0,5
737,4.0,19.6,39.4,1,5
738,4.0,19.3,99.6,0,0
739,4.0,20.6,39.4,3,5
740,4.0,20.0,13.5,3,4
741,4.0,20.0,13.5,3,4
742,4.0,14.3,70.8,3,6
743,4.0,18.7,40.3,3,5
744,4.0,20.6,39.4,3,5
745,4.0,9.4,73.0,1,6
746,4.0,5.8,17.0,3,4
747,4.0,18.6,23.8,4,4
748,4.0,8.8,72.9,3,6
749,4.0,9.8,15.6,1,4
750,4.0,16.7,104.2,3,0
751,4.0,18.0,170.2,3,1
752,4.0,19.8,36.6,0,5
753,4.0,15.3,84.6,3,0
754,4.0,14.2,37.6,0,5
755,4.0,20.0,13.5,3,4
756,4.0,19.5,21.2,12,4
757,4.0,9.3,0.0,1,4
758,4.0,14.6,81.4,0,0
759,4.0,13.6,81.0,0,0
760,4.0,13.4,16.5,0,4
761,4.0,14.3,95.8,0,0
