X,Y,BURNCLAS,Tm,P,tree_genus
-96.7751429995336,49.0947440270137,4.0,8.7,7.2,Popu
-95.6097884603138,49.1583144642264,4.0,4.3,85.4,Popu
-95.2466090614115,50.3340164090884,4.0,10.3,80.5,Pinu
-95.4638828302218,50.4946956530989,4.0,14.3,70.8,Pinu
-96.21269537687,50.5884889947555,4.0,8.8,32.6,Popu
-97.418890979243,51.4437753792957,4.0,12.5,49.2,Popu
-96.0449451470777,51.7367292484045,4.0,20.6,39.4,Pinu
-98.0001230129145,52.3627799684751,4.0,17.7,79.3,Popu
-94.3459623226755,53.7701862175314,4.0,16.2,42.8,Pice
-96.7355936980403,49.2738925252225,4.0,9.7,20.8,Popu
-94.0231751711012,53.8912385747362,4.0,19.3,99.6,Pinu
-96.3663570944589,49.1925274604139,4.0,9.8,15.6,Popu
-100.211159558058,54.5306198657658,4.0,15.8,65.4,Pinu
-98.5514405222829,55.1929428631523,4.0,18.0,170.2,Pice
-95.7120520890293,55.3641285081397,4.0,16.7,104.2,Pice
-96.2111523669359,55.6526999879324,4.0,18.7,80.0,Pice
-100.936989311913,55.6089827571781,4.0,2.0,37.0,Pinu
-98.8957168581659,55.8146691734609,4.0,5.8,17.0,Pice
-92.114555396284,55.9135658637195,4.0,15.8,15.5,Pice
-100.718437397141,56.0667861564685,4.0,2.0,37.0,Popu
-101.775051554978,56.0360569128433,4.0,16.9,123.8,Pice
-101.392626046048,58.0030771712707,4.0,12.0,11.2,Pice
-101.536218317485,56.0594709801776,4.0,17.4,102.6,Pice
-84.3301512671758,46.7683652154113,4.0,9.4,112.4,Genh
-91.3980913002402,48.169566099903,4.0,11.6,42.2,Popu
-91.4723046998517,48.2268010003417,4.0,11.6,42.2,Popu
-94.5817813869631,49.325681686414,4.0,19.9,104.8,Popu
-92.0466782468483,51.7250117224636,4.0,20.6,35.0,Pice
-86.1265674284877,49.2063170629777,4.0,13.1,42.0,Genh
-93.5862721379707,50.233740521202,4.0,20.6,118.0,Pinu
-84.6473758341102,49.9753928729869,4.0,11.5,111.5,Pice
-88.7925505590734,50.4706241613917,4.0,12.9,21.2,Pice
-89.7302319151773,51.6536363267247,4.0,19.7,97.2,Pice
-81.33537266953,51.5404107170646,4.0,16.7,36.8,Pice
-93.9986235309429,52.6651836947782,4.0,19.0,99.6,Pice
-82.2820572402776,52.0943439783962,4.0,16.7,36.8,Pice
-93.9603542506373,52.8820717585175,4.0,19.0,99.6,Pice
-94.7658667386341,52.9165187747119,4.0,19.3,99.6,Pice
-82.8401622187142,52.9187547542863,4.0,10.9,59.0,Pice
-88.5769989896904,53.6963328595047,4.0,17.1,32.0,Pice
-92.7354859932491,52.1811903131373,4.0,19.0,99.6,Pice
-92.8194682382701,51.9202532433356,4.0,19.0,99.6,Pice
-92.0410002999156,51.9099240005948,4.0,16.0,90.5,Pice
-120.039729997936,56.4224899999259,4.0,11.4,5.2,Popu
-115.800702508597,55.3284531517696,4.0,2.9,8.1,Popu
-111.620723217228,58.5523016407777,4.0,-1.2,4.5,Lari
-116.321138830704,53.626080751203,4.0,9.5,57.0,Pice
-116.055073431637,56.528272339833,4.0,11.7,9.0,Popu
-115.349433128684,55.222977626431,4.0,9.8,30.6,Popu
-118.295045000505,59.1938500013766,4.0,16.4,114.4,Pice
-116.760084671814,56.3504506245072,4.0,7.0,44.3,Pice
-110.89750235049,56.5881691562536,4.0,10.8,18.2,Popu
-117.200962000144,59.2662860002735,4.0,11.3,15.2,Pice
-116.694791903804,54.0362253109345,4.0,6.8,9.0,Pinu
-116.175285591377,55.1973635364471,4.0,11.9,43.9,Popu
-114.053639977915,55.2356116444892,4.0,11.1,18.2,Popu
-113.579203561834,56.5907018199379,4.0,17.8,0.0,Lari
-114.880275001198,57.3296979999719,4.0,14.4,5.0,Popu
-115.191942580333,53.0091352908086,4.0,10.7,67.7,Popu
-113.160090299671,56.9341968205054,4.0,11.3,76.7,Pice
-111.899504538274,54.9153726675488,4.0,11.6,2.6,Popu
-115.649321920703,55.3201930499949,4.0,9.8,30.6,Popu
-110.2202569547,55.0997404511378,4.0,10.7,15.0,Pice
-115.895921997431,58.0487089990924,4.0,17.9,43.7,Popu
-110.744971917645,55.907993230791,4.0,11.7,8.6,Popu
-118.719365000072,58.8111929999633,4.0,10.5,31.8,Popu
-115.428700579079,53.3025193857548,4.0,9.1,72.8,Popu
-116.887702431228,54.4188452330379,4.0,10.4,45.2,Popu
-116.755729302683,54.020800677132,4.0,6.8,9.0,Pice
-115.882187788392,55.2816975832509,4.0,11.9,43.9,Popu
-115.622650567598,55.9052804607762,4.0,11.9,8.9,Popu
-115.089590999542,52.5590223199827,4.0,8.3,87.5,Popu
-114.518579999694,58.438927999161,4.0,9.8,8.4,Popu
-110.322942588887,54.5387854840799,4.0,16.6,42.4,Popu
-112.974831379429,54.9388374894347,4.0,11.5,3.0,Popu
-119.419210683122,54.9859852547785,4.0,11.3,29.2,Pice
-116.77626765257,54.5858911843704,4.0,9.3,53.2,Popu
-114.866343530215,51.1788046599244,4.0,3.6,12.4,Popu
-118.697295997842,58.7079710000222,4.0,1.2,3.0,Popu
-119.358771220726,54.976214830096,4.0,11.3,29.2,Popu
-117.01195469576,54.0384821420406,4.0,6.8,9.0,Pinu
-110.727786639926,54.5295907400157,4.0,11.1,3.6,Popu
-118.766185814012,58.7144549164585,4.0,10.5,31.8,Popu
-115.195182790449,54.3558592356245,4.0,10.2,49.9,Popu
-119.246989149965,54.2732905802239,4.0,7.8,13.6,Pice
-114.89792823693,55.8697109234252,4.0,14.3,102.8,Pice
-116.170824098582,55.1888928996576,4.0,11.9,43.9,Popu
-117.664785385065,57.8036365506399,4.0,10.5,28.4,Popu
-115.018152869622,53.1053748801253,4.0,10.7,67.7,Popu
-116.168803897883,55.4132101000707,4.0,11.9,43.9,Popu
-118.728640359078,58.712181875799,4.0,10.5,31.8,Popu
-113.417620080632,56.9630432200059,4.0,12.7,6.0,Pice
-114.919675819813,52.1810250500921,4.0,8.3,87.5,Popu
-115.037750892457,57.0999926248497,4.0,14.4,5.0,Pice
-114.985237388548,52.6620296200841,4.0,8.3,87.5,Pinu
-116.078666688301,56.42372322011,4.0,4.6,10.9,Popu
-114.559669827544,54.5828126898273,4.0,14.8,5.4,Popu
-116.074499841524,56.6037819642196,4.0,11.7,9.0,Pice
-115.482795209733,57.3899275997518,4.0,14.8,80.6,Pice
-115.611888839817,55.9306061496994,4.0,11.9,8.9,Popu
-117.022919999797,59.1865990000432,4.0,15.1,55.8,Pice
-115.33444497976,56.417978304542,4.0,2.7,1.9,Popu
-114.545916079482,58.4575852010148,4.0,9.8,8.4,Popu
-115.020181970216,52.621847360068,4.0,8.3,87.5,Popu
-119.496582998658,59.428229999791,4.0,15.2,117.6,Pice
-110.73395077046,55.9347956794648,4.0,11.7,8.6,Popu
