X,Y,Tm,P,tree_genus,BURNCLAS
-117.26324864948,49.9006800782986,20.3,44.0,Abie,4.0
-116.626734997829,50.1853669981137,18.6,27.9,Abie,4.0
-120.397132264697,49.2371623733251,19.4,10.8,Pinu,4.0
-115.614488002688,50.5542629992153,21.2,19.2,Pinu,4.0
-118.408770309483,49.9671798183751,19.0,33.0,Abie,4.0
-119.720515390441,49.4588256173352,21.7,15.8,Pseu,4.0
-119.824986992941,49.4225000035483,17.5,46.4,Pseu,4.0
-120.010610993524,49.3880220041156,17.5,46.4,Pinu,4.0
-116.909815022077,50.9933437541752,19.6,25.2,Pseu,4.0
-120.4957711702,49.5137668722557,14.9,39.8,Pinu,4.0
-119.623423594909,49.8668950027685,24.3,28.4,Pseu,4.0
-119.713612123268,49.8075761270009,23.4,15.8,Pseu,4.0
-120.8439795575,50.1342403753203,8.1,13.2,Pice,4.0
